"DOCKEY","DOCNO","DOCTYPE","DOCDATE","POSTDATE","TAXDATE","DESCRIPTION","DESCRIPTION2","PAYMENTMETHOD","AREA","AGENT","PROJECT","JOURNAL","CHEQUENUMBER","CURRENCYCODE","CURRENCYRATE","BANKCHARGE","BANKCHARGEACCOUNT","DOCAMT","LOCALDOCAMT","FROMDOCTYPE","BOUNCEDDATE","GLTRANSID","CANCELLED","DEPOSITKEY","UPDATECOUNT","PRINTCOUNT","ATTACHMENTS","NOTE"
320,PV-1311/001,PV,2013-11-30,2013-11-30,2013-11-30,NG KOK LIANG,Payment For SSM Registration and Printing,"301-001",----,----,----,BANK,PBB777376,----,1.00000000,0.00,,3209.00,3209.00,,,167,F,,,0,,
322,PV-1311/002,PV,2013-11-20,2013-11-20,2013-11-20,OLIVER LEE FU ONN,Payment For Nov'13 Staff Salary,"301-001",----,----,----,BANK,PBB777377,----,1.00000000,0.00,,3270.25,3270.25,,,168,F,,,0,,
328,PV-1311/003,PV,2013-11-30,2013-11-30,2013-11-30,KUMPULAN WANG SIMPANAN PEKERJA,Payment For Nov'13 Staff EPF Contribution,"301-001",----,----,----,BANK,PBB777378,----,1.00000000,0.00,,480.00,480.00,,,169,F,,,0,,
330,PV-1311/004,PV,2013-11-30,2013-11-30,2013-11-30,PERTUBUHAN KESELAMATAN SOSIAL,Payment For Nov'13 Staff Socso,"301-001",----,----,----,BANK,PBB777379,----,1.00000000,0.00,,43.90,43.90,,,170,F,,,0,,
332,PV-1312/001,PV,2013-12-31,2013-12-31,2013-12-31,KUMPULAN WANG SIMPANAN PEKERJA,Payment For Dec'13 Staff EPF Contribution,"301-001",----,----,----,BANK,PBB777381,----,1.00000000,0.00,,480.00,480.00,,,171,F,,,0,,
334,PV-1312/002,PV,2013-12-31,2013-12-31,2013-12-31,PERTUBUHAN KESELAMATAN SOSIAL,Payment For Dec'13 Staff Socso,"301-001",----,----,----,BANK,PBB777382,----,1.00000000,0.00,,43.90,43.90,,,172,F,,,0,,
336,PV-1312/003,PV,2013-12-31,2013-12-31,2013-12-31,OLIVER LEE FU ONN,Payment For Dec'13 Staff Salary,"301-001",----,----,----,BANK,PBB777383,----,1.00000000,0.00,,3270.25,3270.25,,,173,F,,,0,,
341,PV-1404/001,PV,2014-04-24,2014-04-24,2014-04-24,GAN CHEE WEI,Payment For Refund To Director,"301-001",----,----,----,BANK,PBB777384,----,1.00000000,0.00,,40000.00,40000.00,,,174,F,,,0,,
343,PV-1404/002,PV,2014-04-22,2014-04-22,2014-04-22,NG KOK LIANG,Payment For Advance Refund,"301-001",----,----,----,BANK,PBB777385,----,1.00000000,0.00,,22087.55,22087.55,,,175,F,,,0,,
345,PV-1404/003,PV,2014-04-24,2014-04-24,2014-04-24,GAN CHEE WEI,Payment For Refund To Systech Automation,"301-001",----,----,----,BANK,PBB777387,----,1.00000000,0.00,,10000.00,10000.00,,,176,F,,,0,,
