"DOCKEY","DOCNO","DOCTYPE","DOCDATE","POSTDATE","TAXDATE","DESCRIPTION","DESCRIPTION2","PAYMENTMETHOD","AREA","AGENT","PROJECT","JOURNAL","CHEQUENUMBER","CURRENCYCODE","CURRENCYRATE","BANKCHARGE","BANKCHARGEACCOUNT","DOCAMT","LOCALDOCAMT","FROMDOCTYPE","BOUNCEDDATE","GLTRANSID","CANCELLED","DEPOSITKEY","UPDATECOUNT","PRINTCOUNT","ATTACHMENTS","NOTE"
1,PV-00001,PV,2012-12-07,2012-12-07,2012-12-07,PUBLIC BANK BERHAD,,"310-000",----,----,----,BANK,AUTO DEBIT,----,1.00000000,0.00,,32.50,32.50,,,5378,F,,1,1,,
3,PV-00002,PV,2012-12-18,2012-12-18,2012-12-18,REVENUE HARVEST SDN BHD,,"310-000",----,----,----,BANK,PBB 431451,----,1.00000000,0.00,,500.00,500.00,,,5379,F,,0,2,,
6,PV-00003,PV,2012-12-20,2012-12-20,2012-12-20,CENTURY JUNK ENTERPRISE,,"310-000",----,----,----,BANK,PBB 431452,----,1.00000000,0.00,,2000.00,2000.00,,,5380,F,,1,1,,
8,PV-00004,PV,2012-12-22,2012-12-22,2012-12-22,D' LEGEND LCD & HIFI SDN BHD,,"310-000",----,----,----,BANK,PBB431453,----,1.00000000,0.00,,1150.00,1150.00,,,5381,F,,0,1,,
10,PV-00005,PV,2012-12-22,2012-12-22,2012-12-22,KTC AIR CON,,"310-000",----,----,----,BANK,PBB 431454,----,1.00000000,0.00,,600.00,600.00,,,5382,F,,0,1,,
12,PV-00006,PV,2012-12-24,2012-12-24,2012-12-24,SPEED UBS SALES & TRAINING SERVICES,,"310-000",----,----,----,BANK,PBB 431455,----,1.00000000,0.00,,2199.00,2199.00,,,5383,F,,0,1,,
14,PV-00007,PV,2012-12-25,2012-12-25,2012-12-25,NAI CHEW WEE,HP ENVY COMPUTER,"310-000",----,----,----,BANK,PBB 431457,----,1.00000000,0.00,,3298.00,3298.00,,,5384,F,,1,3,,
17,PV-00008,PV,2012-12-24,2012-12-24,2012-12-24,ZHONGTIAN ENTERPRISE (M) SDN BHD,Payment For Account - 1ST PAYMENT,"310-000",SLG,NAI,----,BANK,PBB 431456,----,1.00000000,0.00,,20000.00,20000.00,SP,,4793,F,,9,1,,
19,PV-00009,PV,2012-12-25,2012-12-25,2012-12-25,SEONG FATT ELECTRICAL WORKS,,"310-000",----,----,----,BANK,PBB 431458,----,1.00000000,0.00,,916.00,916.00,,,5385,F,,0,2,,
42,PV-00015,PV,2012-12-29,2012-12-29,2012-12-29,KTC AIR CON,,"310-000",----,----,----,BANK,PBB-431463,----,1.00000000,0.00,,180.00,180.00,,,5386,F,,2,2,,
26,PV-00010,PV,2012-12-26,2012-12-26,2012-12-26,ONE STOP JUNK ENTERPRISE,,"310-000",----,----,----,BANK,PBB 431459,----,1.00000000,0.00,,1960.00,1960.00,,,5387,F,,1,1,,
